Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y,Staff_Count,Budget
2025,10,MULUGU,VENKATAPURAM,Veerabhadravaram,2214114,Jar colony,2,0,2,0,0,6,0,6,0,0,4,0,4,0,0,,
2025,10,MULUGU,VENKATAPURAM,Veerabhadravaram,2214116,Laxmipuram,0,0,0,0,0,1,0,1,0,0,3,0,3,0,0,,
2025,10,KHAMMAM,KHAMMAM (R),Pallipadu,2205175,Theegalabanjara,6,0,2,3,1,35,1,13,15,6,26,1,15,8,2,,
2025,10,KHAMMAM,KHAMMAM (R),Pallipadu,2205256,Yellanna nagar,3,0,0,3,0,18,0,1,17,0,13,0,0,13,0,,
2025,10,WANAPARTHY,WANAPARTHY,Khilla Ghanapur,1419087,Khila ghanpur-2,0,0,0,0,0,14,0,1,13,0,9,1,0,8,0,,
2025,10,MEDAK,NARSAPUR,Toopran,1702280,Toopran-X,0,0,0,0,0,46,8,3,27,8,33,4,3,21,5,,
2025,10,NARAYANPET,MADDUR,kosgi,1411080,Kosgi IV,1,0,0,1,0,23,0,1,20,2,20,1,0,18,1,,
2025,10,KHAMMAM,MADHIRA,YERRUPALEM 3,2210170,Kothapalem,2,0,0,1,1,16,8,0,8,0,7,6,0,1,0,,
2025,10,KHAMMAM,MADHIRA,YERRUPALEM 3,2210172,Kandrika,2,0,0,2,0,9,0,6,3,0,9,0,5,4,0,,
2025,10,KARIMNAGAR,KARIMNAGAR (R ),Keshavapatnam,2001115,Keshavapatnam-1,1,1,0,0,0,26,13,0,13,0,25,16,0,8,1,,
2025,10,KARIMNAGAR,KARIMNAGAR (R ),Keshavapatnam,2001117,Keshavapatnam-3,6,0,0,5,1,15,0,0,10,5,20,0,0,17,3,,
2025,10,MEDCHAL - MALKAJIGIRI,QUTHBULLAPUR,ParvathNag,1513143,Thulasi Nagar ward No:116,4,0,0,3,1,73,10,1,53,9,42,5,1,33,3,,
2025,10,MEDCHAL - MALKAJIGIRI,QUTHBULLAPUR,ParvathNag,1513145,Pandit Nehuru Nagar,1,0,0,0,1,97,0,0,1,96,38,0,0,0,38,,
2025,10,RANGAREDDY,SERILINGAMPALLY (U),Adithyanagar,1513033,Muzafar Ahemed nagar,3,1,0,2,0,85,8,3,68,6,27,9,1,17,0,,
