state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
RAJASTHAN,KOTA,250509,91996,4136371,7793.13672491001,7396.03611780001,0.7257175799853992,0.7101691055058931,0.18792716648406116,37
RAJASTHAN,BARAN,414503,116497,5236165,12268.4203687149,10259.3763167999,0.6337539982019559,0.6208959311685449,0.2568518247105379,39
RAJASTHAN,JHALAWAR,569388,126568,6020794,17522.885969918,12128.0833528,0.8506199766948519,0.836525839132353,0.2602177981963587,38
RAJASTHAN,PRATAPGARH,477636,192787,9076302,23250.108689,17849.8997374,0.8546765679520444,0.8424136813357851,0.16450636883194503,41
SIKKIM,Mangan District,9426,4909,320000,566.3600189,437.4599492,0.8646913127236033,0.8598908240187159,0.2471042471042471,32
SIKKIM,Gangtok District,12798,6183,430000,1028.327383711,760.2253848,0.7389145496535797,0.7612122267700079,0.3638426626323752,44
SIKKIM,Namchi District,36317,14726,1200000,2718.609687384,1422.6222203,0.8042741667589415,0.7779016612777344,0.27119016249451033,35
SIKKIM,Gyalshing District,21935,9692,730000,1791.629703364,1172.620249,0.9263091216216216,0.8988366211431462,0.47938931297709925,45
SIKKIM,SORENG,21189,9787,700000,1697.98109335,1159.8456036,0.8993633276740237,0.8732844770153231,0.31791369140018627,44
SIKKIM,PAKYONG,13736,8056,620000,1514.977728802,1039.5092655,0.8315776728417484,0.8202229911572472,0.3475321162947938,48
TAMIL NADU,KANCHIPURAM,157888,87083,1500000,8104.6343993,6080.1471714,0.881937617302708,0.9081907811578327,0.6663824344489447,23
TAMIL NADU,TIRUVALLUR,315455,208499,6400000,21924.3385638981,17073.5477434001,0.827781203668473,0.8561118470402349,0.5131846684107803,33
TAMIL NADU,CUDDALORE,684798,333899,7500000,27161.8221241949,19545.4938703999,0.9168843514644351,0.8923094105201937,0.4644563792447245,22
TAMIL NADU,VILLUPURAM,598923,350171,8100000,28340.4269729929,21601.4897857999,0.9310065023386968,0.9316185328688178,0.6275293733681462,23
TAMIL NADU,VELLORE,157805,95581,1600000,8967.75751110001,6161.41666620001,0.8360308336203014,0.904014866384331,0.6277883569096845,23
